DATA_COTACAO;COTACAO_VALOR;SIGLA
02/01/2025;6,2086;USD
03/01/2025;6,1563;USD
06/01/2025;6,1119;USD
07/01/2025;6,0741;USD
08/01/2025;6,1321;USD
09/01/2025;6,0896;USD
10/01/2025;6,0965;USD
13/01/2025;6,1079;USD
14/01/2025;6,0671;USD
15/01/2025;6,0377;USD
16/01/2025;6,0322;USD
17/01/2025;6,0609;USD
20/01/2025;6,0498;USD
21/01/2025;6,044;USD
22/01/2025;5,9674;USD
23/01/2025;5,9399;USD
24/01/2025;5,8925;USD
27/01/2025;5,9272;USD
28/01/2025;5,893;USD
29/01/2025;5,8596;USD
30/01/2025;5,9006;USD
31/01/2025;5,8301;USD
03/02/2025;5,8687;USD
04/02/2025;5,7927;USD
05/02/2025;5,7997;USD
06/02/2025;5,7856;USD
07/02/2025;5,7557;USD
10/02/2025;5,7808;USD
11/02/2025;5,7788;USD
12/02/2025;5,7711;USD
13/02/2025;5,7788;USD
14/02/2025;5,7283;USD
17/02/2025;5,7105;USD
18/02/2025;5,6979;USD
19/02/2025;5,7087;USD
20/02/2025;5,7019;USD
21/02/2025;5,7027;USD
24/02/2025;5,7258;USD
25/02/2025;5,7779;USD
26/02/2025;5,7757;USD
27/02/2025;5,8228;USD
28/02/2025;5,8488;USD
05/03/2025;5,7914;USD
06/03/2025;5,7489;USD
07/03/2025;5,7688;USD
10/03/2025;5,793;USD
11/03/2025;5,8346;USD
12/03/2025;5,8268;USD
13/03/2025;5,8131;USD
14/03/2025;5,7419;USD
17/03/2025;5,7082;USD
18/03/2025;5,6852;USD
19/03/2025;5,6657;USD
20/03/2025;5,6628;USD
21/03/2025;5,7241;USD
24/03/2025;5,7403;USD
25/03/2025;5,6992;USD
26/03/2025;5,7298;USD
27/03/2025;5,7474;USD
28/03/2025;5,766;USD
31/03/2025;5,7422;USD
01/04/2025;5,7051;USD
02/04/2025;5,6923;USD
03/04/2025;5,6067;USD
04/04/2025;5,7777;USD
07/04/2025;5,8877;USD
08/04/2025;5,9368;USD
09/04/2025;6,0605;USD
10/04/2025;5,9115;USD
11/04/2025;5,8737;USD
14/04/2025;5,8425;USD
15/04/2025;5,8707;USD
16/04/2025;5,8808;USD
17/04/2025;5,8559;USD
22/04/2025;5,7496;USD
23/04/2025;5,688;USD
24/04/2025;5,6738;USD
25/04/2025;5,6846;USD
28/04/2025;5,6681;USD
29/04/2025;5,6467;USD
30/04/2025;5,6608;USD
02/05/2025;5,6394;USD
05/05/2025;5,652;USD
06/05/2025;5,721;USD
07/05/2025;5,7375;USD
08/05/2025;5,686;USD
09/05/2025;5,6511;USD
12/05/2025;5,6822;USD
13/05/2025;5,6262;USD
14/05/2025;5,61;USD
15/05/2025;5,6328;USD
16/05/2025;5,6925;USD
19/05/2025;5,6591;USD
20/05/2025;5,662;USD
21/05/2025;5,6571;USD
22/05/2025;5,639;USD
23/05/2025;5,6932;USD
26/05/2025;5,6619;USD
27/05/2025;5,6539;USD
28/05/2025;5,6936;USD
29/05/2025;5,6559;USD
30/05/2025;5,7087;USD
02/06/2025;5,6937;USD
03/06/2025;5,6694;USD
04/06/2025;5,6332;USD
05/06/2025;5,5969;USD
06/06/2025;5,5947;USD
09/06/2025;5,576;USD
10/06/2025;5,5557;USD
11/06/2025;5,539;USD
12/06/2025;5,5388;USD
13/06/2025;5,5652;USD
16/06/2025;5,5123;USD
17/06/2025;5,4773;USD
18/06/2025;5,4879;USD
20/06/2025;5,4957;USD
23/06/2025;5,5213;USD
24/06/2025;5,4938;USD
25/06/2025;5,5427;USD
26/06/2025;5,5145;USD
27/06/2025;5,4759;USD
30/06/2025;5,4571;USD
01/07/2025;5,4511;USD
02/07/2025;5,4512;USD
03/07/2025;5,4208;USD
04/07/2025;5,409;USD
07/07/2025;5,4552;USD
08/07/2025;5,4571;USD
09/07/2025;5,4626;USD
10/07/2025;5,5433;USD
11/07/2025;5,5722;USD
14/07/2025;5,5595;USD
15/07/2025;5,5576;USD
16/07/2025;5,5722;USD
17/07/2025;5,5737;USD
18/07/2025;5,5466;USD
21/07/2025;5,5625;USD
22/07/2025;5,5709;USD
23/07/2025;5,5537;USD
24/07/2025;5,5239;USD
25/07/2025;5,5426;USD
28/07/2025;5,5877;USD
29/07/2025;5,5764;USD
30/07/2025;5,6034;USD
31/07/2025;5,6021;USD
01/08/2025;5,5436;USD
04/08/2025;5,5113;USD
05/08/2025;5,5119;USD
06/08/2025;5,4802;USD
07/08/2025;5,4638;USD
08/08/2025;5,4254;USD
11/08/2025;5,4473;USD
12/08/2025;5,4052;USD
13/08/2025;5,3928;USD
14/08/2025;5,4095;USD
15/08/2025;5,3928;USD
18/08/2025;5,4155;USD
19/08/2025;5,4716;USD
20/08/2025;5,4726;USD
21/08/2025;5,4828;USD
22/08/2025;5,4392;USD
25/08/2025;5,4174;USD
26/08/2025;5,4218;USD
27/08/2025;5,4428;USD
28/08/2025;5,4115;USD
29/08/2025;5,4264;USD
01/09/2025;5,4378;USD
02/09/2025;5,468;USD
03/09/2025;5,4485;USD
04/09/2025;5,4587;USD
05/09/2025;5,3968;USD
08/09/2025;5,4278;USD
09/09/2025;5,4278;USD
10/09/2025;5,4123;USD
11/09/2025;5,3858;USD
12/09/2025;5,3677;USD
15/09/2025;5,3208;USD
16/09/2025;5,3096;USD
17/09/2025;5,3011;USD
18/09/2025;5,301;USD
19/09/2025;5,3276;USD
22/09/2025;5,3457;USD
23/09/2025;5,3063;USD
24/09/2025;5,3112;USD
25/09/2025;5,3425;USD
26/09/2025;5,3445;USD
29/09/2025;5,3229;USD
30/09/2025;5,3186;USD
01/10/2025;5,3208;USD
02/10/2025;5,3449;USD
03/10/2025;5,3498;USD
06/10/2025;5,3226;USD
07/10/2025;5,3363;USD
08/10/2025;5,3427;USD
09/10/2025;5,3538;USD
10/10/2025;5,4446;USD
13/10/2025;5,4629;USD
14/10/2025;5,4982;USD
15/10/2025;5,4464;USD
16/10/2025;5,4354;USD
17/10/2025;5,439;USD
20/10/2025;5,3771;USD
21/10/2025;5,3848;USD
22/10/2025;5,3898;USD
23/10/2025;5,384;USD
24/10/2025;5,3797;USD
27/10/2025;5,3744;USD
28/10/2025;5,369;USD
29/10/2025;5,3416;USD
30/10/2025;5,385;USD
31/10/2025;5,3843;USD
03/11/2025;5,3505;USD
04/11/2025;5,3846;USD
05/11/2025;5,3798;USD
06/11/2025;5,3451;USD
07/11/2025;5,3567;USD
10/11/2025;5,3181;USD
11/11/2025;5,2729;USD
12/11/2025;5,2885;USD
13/11/2025;5,282;USD
14/11/2025;5,2952;USD
17/11/2025;5,3108;USD
18/11/2025;5,3361;USD
19/11/2025;5,3346;USD
21/11/2025;5,3902;USD
24/11/2025;5,3948;USD
25/11/2025;5,3841;USD
26/11/2025;5,3694;USD
27/11/2025;5,349;USD
28/11/2025;5,3338;USD
01/12/2025;5,3469;USD
02/12/2025;5,3465;USD
03/12/2025;5,3114;USD
04/12/2025;5,2952;USD
05/12/2025;5,3405;USD
08/12/2025;5,4249;USD
09/12/2025;5,457;USD
10/12/2025;5,4656;USD
11/12/2025;5,4237;USD
12/12/2025;5,4011;USD
15/12/2025;5,3929;USD
16/12/2025;5,4505;USD
17/12/2025;5,5093;USD
18/12/2025;5,5283;USD
19/12/2025;5,516;USD
22/12/2025;5,5389;USD
23/12/2025;5,5643;USD
24/12/2025;5,535;USD
26/12/2025;5,5413;USD
29/12/2025;5,5739;USD
30/12/2025;5,5024;USD
31/12/2025;5,5024;USD
02/01/2026;5,4372;USD
05/01/2026;5,4351;USD
06/01/2026;5,3797;USD
07/01/2026;5,388;USD
08/01/2026;5,386;USD
09/01/2026;5,3707;USD
12/01/2026;5,376;USD
13/01/2026;5,3764;USD
14/01/2026;5,3795;USD
15/01/2026;5,3846;USD
16/01/2026;5,3798;USD
19/01/2026;5,3653;USD
20/01/2026;5,379;USD
21/01/2026;5,3368;USD
22/01/2026;5,3118;USD
23/01/2026;5,2879;USD
26/01/2026;5,276;USD
27/01/2026;5,2392;USD
28/01/2026;5,1838;USD
